料理名,価格,エネルギー,タンパク質,脂質,炭水化物,食塩相当量,カルシウム,野菜量,鉄,ビタミンA,ビタミンB1,ビタミンB2,ビタミンC,画像URL
豚と野菜の生姜炒め,297,262,12.8,17.6,16.9,3,63,198,1.0,145,0.41,0.2,55,https://west2-univ.jp/menu_img/png_sp/814260.png
麻婆豆腐,297,282,15.4,17.8,17.3,3.3,84,2,3.1,25,0.26,0.12,1,https://west2-univ.jp/menu_img/png_sp/814068.png
ほっけ塩焼き,253,146,17.9,7.9,0.8,1.7,187,0,0.6,33,0.11,0.26,4,https://west2-univ.jp/menu_img/png_sp/814048.png
チキン南蛮,341,512,18.4,33.8,33.2,3.6,20,0,0.5,6,0.09,0.09,6,https://west2-univ.jp/menu_img/png_sp/824128.png
ローストンカツごまソース,297,449,16.1,29.3,30,2.5,98,0,1.5,7,0.44,0.1,0,https://west2-univ.jp/menu_img/png_sp/824040.png
チキンカツポン酢おろし,253,331,16.6,20.4,20.4,1.8,23,22,0.6,12,0.07,0.07,4,https://west2-univ.jp/menu_img/png_sp/824083.png
ハンバーグデミソース,253,237,15,12.8,14.3,1.7,35,23,1.3,25,0.13,0.12,2,https://west2-univ.jp/menu_img/png_sp/824026.png
白身魚フライ,253,495,11.1,38.2,13.5,1.3,23,0,0.2,5,0.08,0.06,0,https://west2-univ.jp/menu_img/png_sp/824170.png
若布コーンサラダ,132,48,2.1,0.7,10.8,0,35,80,0.3,8,0.06,0.04,18,https://west2-univ.jp/menu_img/png_sp/814440.png
ハッシュポテト,132,127,0.9,8.3,12.2,0.7,3,0,0.3,0,0.04,0.02,6,https://west2-univ.jp/menu_img/png_sp/814431.png
オクラ巣ごもり玉子,99,94,7.8,6.4,3.4,0.7,60,33,1.4,108,0.06,0.25,2,https://west2-univ.jp/menu_img/png_sp/814447.png
竹の子土佐煮,99,23,1.6,0.1,3.8,0.6,9,41,0.2,0,0.01,0.02,0,https://west2-univ.jp/menu_img/png_sp/814539.png
玉子とキャベツ和え,99,39,1.8,2.6,2.1,0.6,19,33,0.2,26,0.01,0.04,6,https://west2-univ.jp/menu_img/png_sp/814543.png
スタミナ茄子,99,143,1.2,12.3,8.1,0.8,8,63,0.4,3,0.03,0.04,1,https://west2-univ.jp/menu_img/png_sp/814536.png
蒸し鶏とオクラのマスタード和え,99,46,4.2,0.7,6.5,0.7,37,33,0.3,21,0.06,0.05,2,https://west2-univ.jp/menu_img/png_sp/814500.png
ほうれん草,77,14,1.8,0.2,2.1,0.2,63,63,0.8,275,0.04,0.08,12,https://west2-univ.jp/menu_img/png_sp/814434.png
だし巻き,77,98,6.2,6.1,3.5,1,25,0,0.8,111,0.04,0.2,0,https://west2-univ.jp/menu_img/png_sp/814492.png
千切り煮,77,28,1.3,0.8,4.0,0.6,29,36,0.3,39,0.01,0.01,0,https://west2-univ.jp/menu_img/png_sp/814577.png
ポテトサラダ,77,98,0.9,6.0,10.0,0.6,3,3,0.1,16,0.03,0.01,6,https://west2-univ.jp/menu_img/png_sp/814551.png
冷奴,55,47,4.4,2.9,2,0.1,26,1,1.0,1,0.09,0.03,2,https://west2-univ.jp/menu_img/png_sp/814630.png
ミニサラダ,55,6,0.3,0.1,1.6,0.0,11,33,0.1,7,0.01,0.01,9,https://west2-univ.jp/menu_img/png_sp/814460.png
豚汁,132,91,5.4,3.4,9.9,1.5,29,54,0.8,110,0.16,0.07,4,https://west2-univ.jp/menu_img/png_sp/814667.png
味噌汁,44,38,2.1,1.9,2.8,1.2,28,0,0.5,1,0.00,0.01,0,https://west2-univ.jp/menu_img/png_sp/814666.png
鶏天うどん,440,518,21.6,10.5,84.7,5.1,28,5,1.0,11,0.16,0.12,4,https://west2-univ.jp/menu_img/png_sp/819502.png
鶏天そば,440,493,26.8,10.9,72.2,4.7,33,5,2.3,11,0.26,0.15,4,https://west2-univ.jp/menu_img/png_sp/819503.png
かき揚げうどん,374,464,9.5,10.4,83.1,4.3,31,30,0.9,146,0.12,0.06,4,https://west2-univ.jp/menu_img/png_sp/819312.png
かき揚げそば,374,439,14.7,10.8,70.6,3.9,36,30,2.2,146,0.22,0.09,4,https://west2-univ.jp/menu_img/png_sp/819313.png
きつねうどん,374,446,14.6,8,79.1,4.9,74,5,1.4,6,0.11,0.06,2,https://west2-univ.jp/menu_img/png_sp/819393.png
きつねそば,374,421,19.8,8.4,66.6,4.5,79,5,2.7,6,0.21,0.09,2,https://west2-univ.jp/menu_img/png_sp/819394.png
かけうどん,286,346,8.8,2,73.4,4.2,21,5,0.7,6,0.1,0.05,2,https://west2-univ.jp/menu_img/png_sp/819328.png
かけそば,286,321,14,2.4,60.9,3.8,26,5,2.0,6,0.2,0.08,2,https://west2-univ.jp/menu_img/png_sp/819329.png
担々麺,506,660,22.2,25.3,86.3,6,208,30,3.0,82,0.24,0.17,5,https://west2-univ.jp/menu_img/png_sp/819990.png
鶏づくし丼中,561,734,22.6,20.3,118.5,3.7,51,28,1.7,71,0.16,0.18,9,https://west2-univ.jp/menu_img/png_sp/819166.png
豚塩カルビ丼中,506,647,15.5,23.1,95.3,2.1,49,40,1.1,182,0.35,0.14,9,https://west2-univ.jp/menu_img/png_sp/819154.png
親子カツ丼中,506,773,25.8,23.5,117.3,3.2,28,0,1.2,60,0.13,0.18,4,https://west2-univ.jp/menu_img/png_sp/819127.png
チキンカツカレー中,506,875,26.3,31.0,125.4,3.8,44,5,1.8,62,0.16,0.12,2,https://west2-univ.jp/menu_img/png_sp/819259.png
カレーライス中,385,558,10.3,10.6,108.1,3.1,36,5,1.3,52,0.09,0.06,0,https://west2-univ.jp/menu_img/png_sp/819272.png
ライス中,187,374,6.0,0.7,89.0,0.0,7,0,0.2,0,0.05,0.02,0,https://west2-univ.jp/menu_img/png_sp/814702.png
ライス大,231,484,7.8,0.9,115.0,0.0,9,0,0.3,0,0.06,0.03,0,https://west2-univ.jp/menu_img/png_sp/814701.png
ライス中,187,374,6.0,0.7,89.0,0.0,7,0,0.2,0,0.05,0.02,0,https://west2-univ.jp/menu_img/png_sp/814702.png
ライス小,143,265,4.3,0.5,63.1,0.0,5,0,0.2,0,0.03,0.02,0,https://west2-univ.jp/menu_img/png_sp/814703.png
ライスミニ,99,156,2.5,0.3,37.1,0.0,3,0,0.1,0,0.02,0.01,0,https://west2-univ.jp/menu_img/png_sp/814704.png
